ParameterName,GroupId,GroupName,DataType,Visible,Discipline,CategorySet,RevitCategories,BindingScope,BindingType,ParameterGroup,Priority,Description,ApplicationNote,AlternativeNote
TR_ProjeNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Proje numarası (ÇŞB/İdare kodu),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ProjeAdi,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Projenin tam adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ProjeSahibi,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,İşveren / Proje sahibi adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_MimarAdSoyad,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Sorumlu mimar adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_MimarOdaNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,TMMOB Mimarlar Odası sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_StatikMuhendis,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Sorumlu inşaat müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_StatikOdaNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,IMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_MekanikMuhendis,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Sorumlu makine müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_MekanikOdaNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,MMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ElektrikMuhendis,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Sorumlu elektrik müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ElektrikOdaNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,EMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ProjeAsamasi,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Ön / Kesin / Uygulama / Ruhsat projesi,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_ProjeRevizyon,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Revizyon no ve tarihi,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",
TR_CizimNo,1,TR-GENEL PROJE BİLGİLERİ,TEXT,Evet,Ortak / BIM,Sheets,Sheets,Project Parameter - Sheets,Instance,Identity Data,Orta,Çizim/pafta numarası,Pafta numarası ve ölçek pafta seviyesinde tutulmalıdır.,
