ParametreAdı,SemanticAnahtar,StandartParametre_EN,VeriTipi,GrupID,GrupAdı,Disiplin,KategoriKümesi,ÖnerilenRevitKategorileri,BağlamaKapsamı,BağlamaTürü,RevitArayüzGrubu,Öncelik,ZorunluMu,DegerKaynakKurali,AnaKullanim,Açıklama,UygulamaNotu,Description_TR,Description_EN,CeviriKaynagi,GozdenGecirmeDurumu
TR_ProjeNo,proje_no,EN_ProjectNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Proje numarası (ÇŞB/İdare kodu),"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Proje numarası (ÇŞB/İdare kodu),Project number (MoEUA / administration code),shared_param_definition,kontrol_gerekli
TR_ProjeAdi,proje_adi,EN_ProjectName,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Projenin tam adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Projenin tam adı,Full project name,shared_param_definition,kontrol_gerekli
TR_ProjeSahibi,proje_sahibi,EN_ProjectOwner,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,İşveren / Proje sahibi adı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",İşveren / Proje sahibi adı,Employer / project owner name,shared_param_definition,kontrol_gerekli
TR_MimarAdSoyad,mimar_ad_soyad,EN_ArchitectFullName,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Sorumlu mimar adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Sorumlu mimar adı soyadı,Responsible architect full name,shared_param_definition,kontrol_gerekli
TR_MimarOdaNo,mimar_oda_no,EN_ArchitectLicenseNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,TMMOB Mimarlar Odası sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",TMMOB Mimarlar Odası sicil no,Chamber of Architects license number,shared_param_definition,kontrol_gerekli
TR_StatikMuhendis,statik_muhendis,EN_StructuralEngineerFullName,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Sorumlu inşaat müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Sorumlu inşaat müh. adı soyadı,Responsible structural engineer full name,shared_param_definition,kontrol_gerekli
TR_StatikOdaNo,statik_oda_no,EN_StructuralEngineerLicenseNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,IMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",IMO sicil no,Chamber of Civil Engineers license number,shared_param_definition,kontrol_gerekli
TR_MekanikMuhendis,mekanik_muhendis,EN_MechanicalEngineerFullName,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Sorumlu makine müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Sorumlu makine müh. adı soyadı,Responsible mechanical engineer full name,shared_param_definition,kontrol_gerekli
TR_MekanikOdaNo,mekanik_oda_no,EN_MechanicalEngineerLicenseNumber,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,MMO sicil no,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",MMO sicil no,Chamber of Mechanical Engineers license number,shared_param_definition,kontrol_gerekli
TR_ElektrikMuhendis,elektrik_muhendis,EN_ElectricalEngineerFullName,TEXT,1,TR-GENEL PROJE BİLGİLERİ,Ortak / BIM,Project Information,Project Information,Project Parameter - Project Information,Instance,Identity Data,Orta,Hayır,manual,Project Information,Sorumlu elektrik müh. adı soyadı,"Ruhsat, imar ve proje üst verileri proje genelinde tekil tutulmalıdır.",Sorumlu elektrik müh. adı soyadı,Responsible electrical engineer full name,shared_param_definition,kontrol_gerekli
